"true_mu_theta","infer_mu_theta","true_mu_lambda","infer_mu_lambda","true_mu_phi","infer_mu_phi","true_mu_cons","infer_mu_cons","true_sigma_theta","infer_sigma_theta","true_sigma_lambda","infer_sigma_lambda","true_sigma_phi","infer_sigma_phi","true_sigma_cons","infer_sigma_cons"
0.562677599862218,0.951604110445152,0.528967569861561,0.52061167945669,-0.403633864596486,-0.414142284316939,2.48856707848608,2.39613173779504,0.0637745319167152,0.32745632662193,0.135176675301045,0.526925776455457,0.164144908916205,0.349250531316205,0.418838528823107,0.436738170397255
0.612994840601459,0.901260947987964,0.513775597652421,0.89623438513987,-1.93746599834412,-1.94628271277686,2.55700694257393,2.55936192357709,0.0960835061734542,0.483965717978206,0.107608571229503,0.55223036990951,0.35050325896591,0.501176936321637,0.199187586922199,0.475174473331735
0.787949237087742,0.981032421581142,0.445042219711468,0.347486288781799,1.22352935932577,1.3132787215013,1.96687505533919,1.83851003339453,0.0614933141041547,0.313007161861614,0.0820436472306028,0.323493558508751,0.117062582727522,0.306455180737395,0.230991412885487,0.326365216318415
0.658124400628731,0.910186700405024,0.314598735095933,0.0718478409581764,0.49509206507355,0.548613631455799,1.99335687281564,1.81201821853208,0.127928116545081,0.555431063659866,0.126393030956388,0.360420295426237,0.207405739556998,0.275210946434547,0.432640221435577,0.416231976076229
0.291417189501226,0.0307497209443732,0.28013685173355,0.0331423910875004,0.239007239229977,0.289502874110631,1.17093868274242,1.2942248444253,0.107850015652366,0.373845406049686,0.104662413196638,0.378526230445408,0.352007499244064,0.405525261253342,0.265214231982827,0.394162916068781
0.364960446441546,0.0217667350513461,0.39469037540257,0.251458792641096,1.81404921971262,1.97417793035535,2.79317469615489,2.71322170458221,0.0793104525422677,0.322894843519244,0.139443956594914,0.374392077183869,0.131871430296451,0.375677608660153,0.354774953983724,0.475546560774661
0.724539727764204,0.92556601031174,0.465438915835694,0.529407865460572,0.851863838732243,0.979608723594414,1.06126088649035,1.07046817358134,0.0997779886703938,0.439722875309419,0.14658431627322,0.531144278277603,0.407732837833464,0.359249526967427,0.335112294275314,0.337665784156039
0.622039613733068,0.966156622802217,0.692213733540848,0.976513589076738,0.321274536661804,0.297717306925709,2.40719284396619,2.28707240993783,0.0556798089994118,0.343625108769759,0.13868719607126,0.314221432941649,0.331441719364375,0.465852928966028,0.235110310837626,0.383492724530866
0.324458614643663,0.0717322971956578,0.699476818740368,0.901908541656219,1.21655924804509,1.17851858465644,1.75910571403801,1.6323571964563,0.0990326300729066,0.761156292726544,0.130404485855252,0.364137424166028,0.330389990005642,0.411660594700097,0.236002619750798,0.342529398421002
0.7088797156699,0.936775836659939,0.717691453592852,0.837524812887982,0.759591893292964,0.859329712775889,1.0782197508961,0.971180711861945,0.110904361284338,0.434721282695619,0.14653137489222,0.410188688291036,0.144403001386672,0.301093792329732,0.299433018825948,0.358674079768358
0.461311551323161,0.426121025527931,0.541735333623365,0.730595917198619,0.0386605747044086,0.0297391228960578,1.576147117652,1.45894906756099,0.100807528104633,0.574565635312435,0.108798292232677,0.358491114896098,0.108892471622676,0.274264225005804,0.279695367719978,0.370744228080499
0.606367840291932,0.905657998447922,0.752550120744854,0.980572586644756,-0.56768436729908,-0.769774277718217,2.47206681687385,2.39602536821757,0.0533121048938483,0.757587504558031,0.11274679643102,0.311117010076951,0.116136145778,0.300980891482173,0.282544990070164,0.448720937807774
0.374151091650128,0.121906742363226,0.731841400591657,0.929017862187889,1.81630012392998,2.15000638963515,1.01908881729469,0.886100240311759,0.0991146586136892,0.0193721819891864,0.0612256037769839,0.356031743451252,0.171996596828103,0.416774626577023,0.385082438401878,0.323420006408014
0.308848116686568,0.0589829470975088,0.712967480160296,0.949949373251322,0.529200715944171,0.522926633134403,1.92786280345172,1.84299623753388,0.121155549865216,0.508505172810897,0.0780126613564789,0.323901663282942,0.31820912361145,0.37058513367116,0.249657914787531,0.316433255819159
0.242144776042551,0.261621183075311,0.538854840351269,0.197601576223043,-1.36939055100083,-2.36193967939432,2.62696549482644,2.23541920362017,0.0883372738258913,0.575901368454896,0.0776278120931238,0.594099331667318,0.41796277211979,0.537003999326289,0.430501261539757,0.611937646232462
0.645573738217354,0.851390095845705,0.21689964402467,0.02612264617404,0.891508103348315,0.907569158311006,1.44826550828293,1.50746561605971,0.106128031900153,0.461366683158074,0.12616454961244,0.317287550732892,0.113817788753659,0.287614645239754,0.399852864909917,0.513678404528826
0.694607254024595,0.971285106118112,0.31036670813337,0.239290888564053,0.753272232599556,0.695348423298212,2.52087647374719,2.51258162213952,0.0936623961431906,0.329967402553037,0.0806291725486517,0.312677178226546,0.471982512716204,0.560438502986261,0.14792572837323,0.297238900626125
0.34482731143944,0.589280972808571,0.632631843350828,0.814461912636718,-0.425179056823254,-0.351686680763047,1.60781257413328,1.65983790074858,0.062048618379049,0.65602804970706,0.127413358492777,0.484464660698508,0.242312324605882,0.358970835724043,0.1932991348207,0.347573289551624
0.605868046823889,0.965125218127516,0.695445379521698,0.957690811704933,-1.39286740403622,-1.20455744438874,1.61159451771528,2.21664638607824,0.0989174569258466,0.396515581779892,0.0602742109214887,0.371978044524758,0.213266715500504,0.38412612586303,0.178834320232272,0.510243045576244
0.792003211891279,0.95973059707725,0.563203174527735,0.605830456250247,1.43025622703135,1.48181771368046,1.48585641104728,1.26991279028502,0.0969553017057478,0.43453652771916,0.126237762835808,0.425960329989556,0.119807034451514,0.330570617887907,0.283577597793192,0.327646770083728
0.329909168323502,0.264980185856916,0.772026195004583,0.982363335006116,0.790221704170108,0.772882877476067,1.8934442778118,1.85619997947589,0.101810396020301,0.634768385298112,0.117599510657601,0.289235838001816,0.378980250842869,0.44932549308097,0.393751625251025,0.340695381687233
0.761311992770061,0.979262472895971,0.509289764845744,0.568215667290236,0.372544826008379,0.605598789939274,1.50332665536553,1.52151267143185,0.0974052410572767,0.320803468836969,0.0728684714529663,0.309687434525842,0.436428767628968,0.477164084556617,0.447161537501961,0.34864943487576
